10000000
Uniform random distribution,1,19259,17553,19713,16455,18571,17229,18800,21084,22445,23198
Uniform random distribution,2,13397,13201,12877,12048,14972,14206,14595,16075,14246,18040
Uniform random distribution,3,9343,11333,9713,9649,10257,11239,10759,9275,10906,10339
Uniform random distribution,4,8807,9184,11888,10141,9643,10059,10216,10479,8687,9990
Uniform random distribution,5,9944,10805,11114,10252,10276,11538,10944,11581,9090,9690
Uniform random distribution,6,10990,9918,12088,10578,12421,9550,11056,9047,11623,9582
Uniform random distribution,7,10956,9956,10851,9315,10344,11007,12073,11832,10436,11407
Uniform random distribution,8,10586,12122,12376,11382,12010,11881,11437,12681,13059,11262
Common value distribution,1,16034,18023,17794,15523,15688,17200,16735,15581,16455,16382
Common value distribution,2,7555,9708,8843,8605,8481,8605,7470,8434,8663,9001
Common value distribution,3,6944,6908,7047,6945,7265,6510,6394,7397,7958,8225
Common value distribution,4,7308,7865,7499,6675,5900,5799,5903,6154,6292,5892
Common value distribution,5,5964,6966,5931,6593,5786,5228,5080,5738,5230,5875
Common value distribution,6,5657,5233,5449,4299,5017,6159,6018,5624,6183,5980
Common value distribution,7,5776,5668,6658,5798,6197,6126,5970,6258,5813,5614
Common value distribution,8,5691,5753,5635,6426,6184,6244,6972,6400,6533,5965
All zeros,1,228,224,299,236,230,229,276,217,322,381
All zeros,2,339,342,318,349,344,318,348,330,339,353
All zeros,3,350,299,349,326,334,244,244,228,264,244
All zeros,4,200,271,232,213,222,250,225,232,270,250
All zeros,5,224,224,276,221,349,312,285,153,190,346
All zeros,6,170,453,253,185,392,443,173,266,259,208
All zeros,7,151,197,394,460,251,242,338,275,234,308
All zeros,8,271,234,221,274,225,222,343,237,230,273
