10000000
Uniform random distribution,1,12714,12640,12617,12619,13434,13253,12927,14013,13108,12665
Uniform random distribution,2,8141,8344,7781,8136,8456,8931,8523,8560,8606,8308
Uniform random distribution,3,6712,6817,6603,6734,6517,6695,6368,6485,6501,6729
Uniform random distribution,4,5930,5798,5761,6213,6151,5980,5993,5870,5924,5972
Common value distribution,1,11515,11513,11612,11499,11498,11498,11498,11500,11499,11500
Common value distribution,2,7775,7431,7517,7499,8588,8584,8264,7503,7532,7874
Common value distribution,3,6530,5930,6024,6140,5692,6404,6286,6245,7041,6244
Common value distribution,4,5412,5542,6606,6133,5850,6072,6278,6109,6232,6040
All zeros,1,1093,999,1039,940,940,976,955,996,944,953
All zeros,2,973,950,943,974,978,914,916,933,913,918
All zeros,3,913,911,910,910,910,911,909,910,910,916
All zeros,4,989,1113,1368,913,1086,1069,925,930,913,921
All max int,1,1012,1282,1197,1137,1275,1004,1013,974,1028,976
All max int,2,1044,1003,1058,1116,1085,980,1153,1011,1202,1133
All max int,3,990,1094,974,975,994,974,989,976,976,975
All max int,4,1000,996,1180,1021,973,976,1047,974,1013,974
Monotomically increasing,1,10782,10778,10794,11917,12225,11953,11210,11100,10918,11395
Monotomically increasing,2,7001,7234,7138,7319,7314,7202,7318,7371,7282,7188
Monotomically increasing,3,5316,5652,5618,5765,5994,5849,5859,5622,5847,5762
Monotomically increasing,4,5545,5295,5420,5442,5260,5946,5718,5543,5855,6373
